iter	Passed	Remaining
1184	7463	11431
1185	7470	11426
1186	7477	11420
1187	7483	11413
1188	7490	11408
1189	7497	11403
1190	7504	11397
1191	7512	11394
1192	7520	11391
1193	7529	11388
1194	7537	11384
1195	7544	11379
1196	7550	11373
1197	7557	11368
1198	7565	11363
1199	7574	11361
1200	7580	11355
1201	7588	11351
1202	7595	11345
1203	7603	11341
1204	7609	11335
1205	7615	11328
1206	7622	11323
1207	7630	11319
1208	7638	11315
1209	7645	11310
1210	7652	11305
1211	7660	11300
1212	7665	11293
1213	7671	11286
1214	7678	11280
1215	7684	11273
1216	7691	11268
1217	7697	11261
1218	7703	11254
1219	7708	11247
1220	7715	11241
1221	7721	11235
1222	7727	11228
1223	7734	11222
1224	7740	11216
1225	7747	11210
1226	7754	11205
1227	7761	11199
1228	7768	11195
1229	7775	11188
1230	7781	11182
1231	7788	11176
1232	7795	11170
1233	7801	11164
1234	7807	11158
1235	7814	11152
1236	7820	11146
1237	7827	11141
1238	7834	11134
1239	7840	11128
1240	7846	11122
1241	7853	11115
1242	7859	11109
1243	7866	11104
1244	7874	11100
1245	7883	11097
1246	7890	11092
1247	7896	11084
1248	7903	11080
1249	7910	11074
1250	7917	11069
1251	7924	11063
1252	7930	11057
1253	7938	11052
1254	7944	11046
1255	7950	11040
1256	7957	11034
1257	7965	11029
1258	7973	11025
1259	7983	11024
1260	7991	11020
1261	7998	11015
1262	8004	11009
1263	8011	11002
1264	8017	10995
1265	8023	10989
1266	8029	10982
1267	8035	10976
1268	8043	10971
1269	8049	10965
1270	8055	10958
1271	8061	10951
1272	8067	10945
1273	8073	10937
1274	8079	10930
1275	8086	10925
1276	8092	10918
1277	8099	10912
1278	8105	10906
1279	8112	10900
1280	8119	10895
1281	8125	10888
1282	8131	10882
1283	8138	10876
1284	8145	10870
1285	8151	10864
1286	8157	10857
1287	8163	10850
1288	8171	10847
1289	8178	10841
1290	8185	10835
1291	8191	10829
1292	8199	10824
1293	8205	10818
1294	8212	10812
1295	8218	10806
1296	8224	10799
1297	8231	10793
1298	8237	10786
1299	8243	10780
1300	8250	10775
1301	8257	10769
1302	8264	10762
1303	8269	10755
1304	8276	10749
1305	8281	10742
1306	8288	10736
1307	8294	10729
1308	8300	10723
1309	8307	10716
1310	8313	10710
1311	8322	10707
1312	8328	10700
1313	8334	10693
1314	8340	10686
1315	8347	10681
1316	8353	10674
1317	8359	10667
1318	8366	10662
1319	8372	10656
1320	8378	10649
1321	8385	10644
1322	8392	10638
1323	8398	10631
1324	8404	10625
1325	8413	10621
1326	8422	10618
1327	8430	10614
1328	8437	10609
1329	8443	10602
1330	8450	10596
1331	8456	10589
1332	8463	10583
1333	8469	10577
1334	8477	10572
1335	8483	10566
1336	8490	10560
1337	8496	10554
1338	8503	10547
1339	8509	10542
1340	8516	10536
1341	8523	10530
1342	8530	10525
1343	8537	10519
1344	8544	10513
1345	8550	10507
1346	8557	10500
1347	8563	10494
1348	8571	10490
1349	8578	10484
1350	8584	10478
1351	8591	10472
1352	8600	10469
1353	8608	10465
1354	8615	10458
1355	8621	10452
1356	8626	10445
1357	8634	10439
1358	8641	10434
1359	8648	10429
1360	8655	10423
1361	8662	10417
1362	8668	10411
1363	8675	10405
1364	8681	10398
1365	8687	10391
1366	8693	10385
1367	8700	10379
1368	8706	10373
1369	8713	10366
1370	8719	10360
1371	8726	10354
1372	8732	10347
1373	8739	10341
1374	8745	10335
1375	8751	10328
1376	8758	10323
1377	8764	10316
1378	8771	10310
1379	8777	10304
1380	8784	10298
1381	8790	10291
1382	8796	10284
1383	8802	10277
1384	8808	10270
1385	8813	10263
1386	8820	10257
1387	8825	10250
1388	8832	10244
1389	8839	10238
1390	8845	10231
1391	8852	10226
1392	8858	10219
1393	8865	10213
1394	8871	10207
1395	8878	10201
1396	8884	10194
1397	8890	10187
1398	8896	10181
1399	8902	10174
1400	8909	10168
1401	8915	10162
1402	8921	10155
1403	8927	10148
1404	8935	10143
1405	8941	10137
1406	8947	10130
1407	8954	10124
1408	8960	10117
1409	8966	10111
1410	8972	10104
1411	8979	10098
1412	8985	10091
1413	8991	10085
1414	8998	10079
1415	9004	10073
1416	9011	10066
1417	9019	10062
1418	9025	10056
1419	9031	10048
1420	9037	10042
1421	9043	10035
1422	9049	10029
1423	9056	10022
1424	9062	10016
1425	9068	10010
1426	9075	10003
1427	9081	9997
1428	9087	9990
1429	9094	9984
1430	9100	9977
1431	9106	9971
1432	9113	9965
1433	9119	9959
1434	9126	9953
1435	9132	9946
1436	9138	9939
1437	9145	9933
1438	9151	9927
1439	9157	9920
1440	9163	9914
1441	9170	9907
1442	9177	9902
1443	9183	9896
1444	9189	9889
1445	9195	9882
1446	9202	9876
1447	9209	9870
1448	9215	9864
1449	9221	9857
1450	9227	9850
1451	9234	9845
1452	9240	9838
1453	9246	9832
1454	9253	9825
1455	9259	9819
1456	9265	9812
1457	9272	9806
1458	9279	9800
1459	9285	9794
1460	9291	9787
1461	9297	9781
1462	9303	9774
1463	9309	9767
1464	9315	9760
1465	9321	9754
1466	9328	9748
1467	9334	9741
1468	9340	9734
1469	9347	9728
1470	9353	9722
1471	9359	9715
1472	9365	9709
1473	9372	9703
1474	9379	9697
1475	9385	9691
1476	9392	9685
1477	9399	9679
1478	9407	9674
1479	9413	9667
1480	9420	9662
1481	9426	9655
1482	9432	9649
1483	9439	9642
1484	9446	9637
1485	9454	9632
1486	9460	9626
1487	9467	9620
1488	9475	9615
1489	9482	9609
1490	9489	9603
1491	9496	9597
1492	9502	9591
1493	9508	9584
1494	9514	9578
1495	9524	9575
1496	9529	9567
1497	9535	9561
1498	9542	9555
1499	9548	9548
1500	9555	9542
1501	9561	9535
1502	9566	9528
1503	9573	9522
1504	9580	9517
1505	9587	9511
1506	9593	9504
1507	9599	9497
1508	9606	9491
1509	9612	9485
1510	9619	9479
1511	9625	9472
1512	9632	9466
1513	9638	9459
1514	9644	9453
1515	9651	9447
1516	9656	9440
1517	9662	9433
1518	9668	9426
1519	9674	9420
1520	9681	9413
1521	9688	9407
1522	9693	9401
1523	9701	9395
1524	9709	9390
1525	9715	9384
1526	9721	9377
1527	9727	9371
1528	9734	9365
1529	9742	9360
1530	9749	9354
1531	9756	9348
1532	9763	9343
1533	9771	9338
1534	9778	9332
1535	9785	9327
1536	9791	9320
1537	9798	9314
1538	9804	9307
1539	9812	9302
1540	9818	9296
1541	9824	9289
1542	9831	9283
1543	9837	9276
1544	9844	9271
1545	9851	9265
1546	9858	9259
1547	9865	9253
1548	9871	9247
1549	9878	9241
1550	9885	9235
1551	9891	9228
1552	9897	9221
1553	9903	9215
1554	9909	9208
1555	9916	9202
1556	9923	9196
1557	9928	9189
1558	9935	9183
1559	9941	9177
1560	9948	9170
1561	9956	9166
1562	9964	9160
1563	9971	9155
1564	9977	9148
1565	9983	9141
1566	9989	9135
1567	9995	9128
1568	10003	9123
1569	10009	9116
1570	10015	9110
1571	10022	9104
1572	10029	9098
1573	10036	9092
1574	10042	9086
1575	10049	9080
1576	10057	9075
1577	10064	9069
1578	10070	9062
1579	10076	9056
1580	10082	9049
1581	10088	9042
1582	10096	9037
1583	10102	9031
1584	10109	9025
1585	10116	9019
1586	10123	9013
1587	10130	9007
1588	10136	9001
1589	10144	8996
1590	10152	8991
1591	10159	8985
1592	10166	8979
1593	10173	8973
1594	10180	8967
1595	10187	8961
1596	10193	8955
1597	10200	8949
